시발역,망양  ,망양  ,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,망양  ,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,,,,,,,,,,,,
종착역,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,망양  ,부전  ,부전  ,망양  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,망양  ,,,,,,,,,,,,
열차번호,K8652,K8654,K8502,K8504,K8656,K8506,K8508,K8510,K8512,K8514,K8516,K8518,K8520,K8658,K8662,K8660,K8524,K8664,K8526,K8528,K8530,K8532,K8534,K8536,K8538,K8540,K8542,K8544,K8546,K8666,K8548,K8550,K8552,K8668,K8554,K8670,K8556,K8558,K8560,K8562,K8564,K8566,K8568,K8570,K8572,K8574,K8576,K8578,K8580,K8582,K8584,K8586,K8672,,,,,,,,,,,,
월내  ,05:35:00,05:49:00,06:03:30,06:19:30,06:31:00,06:47:30,07:02:30,07:14:30,07:33:30,07:52:30,08:10:30,08:29:30,08:45:30,09:08:00,        ,09:27:00,09:45:30,        ,10:18:30,10:42:30,11:13:30,11:45:30,12:08:30,12:32:30,13:21:00,13:50:30,14:15:30,14:38:30,15:09:30,15:33:00,16:02:00,16:22:30,16:48:30,17:07:00,17:23:30,17:35:00,17:49:30,18:05:30,18:34:00,18:47:30,19:04:30,19:22:30,19:36:30,19:58:30,20:17:30,20:40:30,21:03:30,21:36:30,22:00:00,22:22:30,22:52:30,23:27:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
좌천  ,05:39:00,05:53:00,06:07:30,06:23:30,06:35:00,06:51:30,07:06:30,07:23:30,07:37:30,07:56:30,08:14:30,08:33:30,08:49:30,09:12:00,        ,09:31:00,09:49:30,        ,10:22:30,10:46:30,11:17:30,11:49:30,12:12:30,12:41:00,13:25:00,13:54:30,14:19:30,14:42:30,15:13:30,15:37:00,16:06:00,16:26:30,16:52:30,17:11:00,17:27:30,17:39:00,17:53:30,18:15:00,18:38:00,18:51:30,19:08:30,19:26:30,19:40:30,20:02:30,20:21:30,20:44:30,21:07:30,21:40:30,22:08:30,22:31:00,22:56:30,23:31:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일광  ,05:44:00,05:58:00,06:12:30,06:28:30,06:40:00,06:56:30,07:11:30,07:28:30,07:42:30,08:01:30,08:19:30,08:38:30,08:54:30,09:17:00,        ,09:36:00,09:54:30,        ,10:27:30,10:51:30,11:22:30,11:54:30,12:17:30,12:46:00,13:30:00,13:59:30,14:24:30,14:47:30,15:18:30,15:42:00,16:11:00,16:31:30,16:57:30,17:16:00,17:32:30,17:44:00,17:58:30,18:20:00,18:43:00,18:56:30,19:13:30,19:31:30,19:45:30,20:07:30,20:26:30,20:49:30,21:12:30,21:45:30,22:13:30,22:36:00,23:01:30,23:36:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기장  ,05:47:30,06:01:30,06:16:00,06:32:00,06:43:30,07:00:00,07:15:00,07:32:00,07:46:00,08:05:00,08:23:00,08:42:00,08:58:00,09:20:30,        ,09:39:30,09:58:00,        ,10:31:00,10:55:00,11:26:00,11:58:00,12:21:00,12:49:30,13:33:30,14:03:00,14:28:00,14:51:00,15:22:00,15:45:30,16:14:30,16:35:00,17:01:00,17:19:30,17:36:00,17:47:30,18:02:00,18:24:00,18:46:30,19:00:00,19:17:00,19:35:00,19:49:00,20:15:30,20:30:00,20:53:00,21:16:00,21:49:00,22:17:00,22:39:30,23:05:00,23:40:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오시리,05:53:00,06:07:00,06:21:30,06:37:30,06:49:00,07:05:30,07:20:30,07:37:30,07:51:30,08:10:30,08:28:30,08:47:30,09:03:30,09:26:00,        ,09:45:00,10:03:30,        ,10:36:30,11:00:30,11:31:30,12:03:30,12:26:30,12:55:00,13:39:00,14:08:30,14:33:30,14:56:30,15:27:30,15:51:00,16:20:00,16:40:30,17:06:30,17:25:00,17:41:30,17:53:00,18:07:30,18:30:00,18:52:00,19:05:30,19:22:30,19:40:30,19:54:30,20:21:00,20:35:30,20:58:30,21:21:30,21:54:30,22:22:30,22:45:00,23:10:30,23:45:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
