,K1701,K1705,K1703,K1707,K1709,K1711,K1713,K1715,K1717,K1719,K1721,K1723,K1725,K1727,K1729,K1731,K1733,K1735,K1737,K1739,K1741,K1743,K1745,K1749,K1751,K1753,K1757,K1755,K1759,K1761,K1763,K1765,K1769,K1767,K1771,K1773,K1775,K1777,K1779,K1781,K1783,K1785,K1787,K1789,K1791,K1793,K1795,K1797,K1799,K1801,K1803
구미,,5:30:00,,5:39:00,6:04:00,6:26:00,6:49:00,7:02:00,7:21:00,7:30:00,7:50:00,8:05:00,8:20:00,8:44:00,9:08:00,9:22:00,9:40:00,10:00:00,10:25:00,10:56:00,11:15:00,11:38:00,11:59:00,13:21:00,13:34:00,14:03:00,14:52:00,,15:20:00,15:45:00,16:05:00,16:27:00,17:00:00,,17:31:00,17:54:00,18:16:00,18:29:00,18:50:00,19:19:00,19:46:00,20:07:00,20:34:00,20:56:00,21:20:00,21:50:00,22:07:00,22:28:00,22:54:00,23:21:00,23:49:00
사곡,,5:36:00,,5:45:00,6:10:00,6:32:00,6:55:00,7:08:00,7:27:00,7:36:00,7:56:00,8:11:00,8:26:00,8:50:00,9:18:30,9:28:00,9:46:00,10:10:30,10:31:00,11:02:00,11:21:00,11:44:00,12:05:00,13:31:30,13:40:00,14:09:00,14:58:00,,15:26:00,15:51:00,16:11:00,16:33:00,17:06:00,,17:37:00,18:00:00,18:22:00,18:35:00,18:56:00,19:25:00,19:52:00,20:13:00,20:40:00,21:02:00,21:26:00,21:56:00,22:13:00,22:34:00,23:00:00,23:27:00,23:55:00
북삼,,5:41:30,,5:50:30,6:15:30,6:37:30,7:00:30,7:13:30,7:32:30,7:41:30,8:01:30,8:16:30,8:31:30,8:55:30,9:24:00,9:38:00,9:51:30,10:16:00,10:36:30,11:07:30,11:26:30,11:49:30,12:10:30,13:37:00,13:45:30,14:14:30,15:03:30,,15:36:00,15:56:30,16:16:30,16:38:30,17:11:30,,17:42:30,18:10:00,18:27:30,18:40:30,19:01:30,19:30:30,19:57:30,20:18:30,20:45:30,21:07:30,21:31:30,22:01:30,22:18:30,22:39:30,23:05:30,23:32:30,0:00:30
왜관,,5:51:00,,6:00:00,6:25:00,6:47:00,7:10:00,7:23:00,7:42:00,7:51:00,8:11:00,8:26:00,8:41:00,9:05:00,9:33:30,9:47:30,10:01:00,10:25:30,10:46:00,11:17:00,11:36:00,12:03:00,12:24:30,13:46:30,13:59:30,14:24:00,15:17:30,,15:45:30,16:06:00,16:26:00,16:48:00,17:21:00,,17:52:00,18:19:30,18:37:00,18:55:30,19:11:00,19:40:00,20:07:00,20:28:00,20:55:00,21:17:00,21:41:00,22:11:00,22:34:00,22:54:30,23:15:00,23:42:00,0:10:00
서대구,,6:07:30,,6:16:30,6:41:30,7:03:30,7:26:30,7:39:30,7:58:30,8:07:30,8:27:30,8:42:30,8:57:30,9:21:30,9:50:00,10:04:00,10:17:30,10:42:00,11:02:30,11:33:30,11:52:30,12:19:30,12:41:00,14:03:00,14:16:00,14:40:30,15:34:30,,16:02:00,16:22:30,16:42:30,17:04:30,17:37:30,,18:08:30,18:36:00,18:53:30,19:12:00,19:27:30,19:56:30,20:23:30,20:44:30,21:11:30,21:33:30,21:57:30,22:27:30,22:50:30,23:11:00,23:31:30,23:58:30,0:26:30
대구,,6:13:30,,6:22:30,6:47:30,7:09:30,7:32:30,7:45:30,8:04:30,8:13:30,8:33:30,8:48:30,9:03:30,9:27:30,9:56:00,10:10:00,10:23:30,10:48:00,11:08:30,11:39:30,11:58:30,12:25:30,12:47:00,14:09:00,14:22:00,14:46:30,15:40:30,,16:08:00,16:28:30,16:48:30,17:10:30,17:43:30,,18:14:30,18:42:00,18:59:30,19:18:00,19:33:30,20:02:30,20:29:30,20:50:30,21:17:30,21:39:30,22:03:30,22:33:30,22:56:30,23:17:00,23:37:30,0:04:30,0:32:30
동대구,5:35:00,6:19:30,5:49:00,6:28:30,6:53:30,7:15:30,7:39:00,7:51:30,8:10:30,8:19:30,8:39:30,8:53:30,9:09:30,9:33:30,10:02:00,10:15:00,10:29:30,10:54:00,11:14:30,11:44:30,12:03:30,12:31:30,12:53:00,14:15:00,14:28:00,14:52:30,15:48:30,15:24:00,16:14:00,16:34:30,16:54:30,17:16:30,17:49:00,17:35:00,18:20:30,18:47:30,19:04:30,19:24:00,19:39:30,20:08:00,20:35:00,20:56:30,21:23:30,21:45:30,22:13:00,22:39:30,23:02:30,23:23:00,23:42:30,0:10:30,0:37:30
경산,5:46:00,6:30:30,6:00:00,6:39:30,7:04:30,7:26:30,7:50:00,8:02:30,8:21:30,8:30:30,8:50:00,        ,9:20:30,9:44:30,10:13:00,        ,10:40:30,11:05:00,11:25:30,        ,        ,12:42:00,13:04:00,14:25:30,14:39:00,15:03:30,15:59:30,15:34:30,16:25:00,16:45:30,17:05:30,17:27:30,17:59:30,17:47:00,18:31:30,18:58:30,        ,19:35:00,19:50:30,20:19:00,20:46:00,21:07:30,21:34:30,21:56:30,22:24:00,22:50:30,23:13:30,23:34:00,        ,0:21:30,        
