시발역,부전  ,망양  ,망양  ,부전  ,부전  ,부전  ,부전  ,망양  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,,,,
종착역,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,,,,
열차번호,K8501,K8651,K8653,K8503,K8505,K8507,K8657,K8655,K8509,K8511,K8513,K8515,K8517,K8519,K8521,K8523,K8525,K8527,K8529,K8531,K8533,K8535,K8537,K8539,K8541,K8543,K8545,K8547,K8549,K8551,K8659,K8553,K8555,K8661,K8557,K8559,K8561,K8563,K8565,K8567,K8569,K8571,K8573,K8575,K8577,K8579,K8581,K8663,,,,
재송  ,5:47:30,        ,        ,6:20:30,6:47:30,7:21:00,7:44:30,        ,8:14:30,8:32:30,8:53:30,9:15:30,9:29:30,10:01:30,10:32:30,11:00:30,11:25:30,11:47:30,12:03:30,12:37:30,12:59:30,13:23:30,13:43:30,14:20:30,14:40:30,15:10:30,15:32:30,16:00:30,16:21:30,16:49:30,17:03:30,17:16:30,17:26:30,17:54:30,18:15:30,18:36:30,18:59:30,19:29:30,19:54:00,20:13:30,20:40:30,21:15:30,21:37:30,22:03:30,22:31:30,22:53:30,23:13:30,23:34:30,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
센텀  ,5:49:30,        ,        ,6:22:30,6:49:30,7:23:00,7:46:30,        ,8:16:30,8:34:30,8:55:30,9:17:30,9:31:30,10:03:30,10:34:30,11:02:30,11:27:30,11:49:30,12:05:30,12:39:30,13:01:30,13:25:30,13:45:30,14:22:30,14:42:30,15:12:30,15:34:30,16:02:30,16:23:30,16:51:30,17:05:30,17:18:30,17:28:30,17:56:30,18:17:30,18:38:30,19:01:30,19:31:30,19:56:00,20:15:30,20:42:30,21:17:30,21:39:30,22:05:30,22:33:30,22:55:30,23:15:30,23:36:30,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벡스코,5:52:00,        ,        ,6:25:00,6:52:00,7:25:30,7:49:00,        ,8:19:00,8:37:00,8:58:00,9:20:00,9:34:00,10:06:00,10:37:00,11:05:00,11:30:00,11:52:00,12:08:00,12:42:00,13:04:00,13:28:00,13:48:30,14:25:00,14:45:00,15:15:00,15:37:00,16:05:00,16:26:00,16:54:00,17:08:00,17:21:00,17:31:00,17:59:00,18:20:00,18:41:00,19:04:00,19:34:00,19:58:30,20:18:00,20:45:00,21:20:00,21:42:00,22:08:00,22:36:00,22:58:00,23:18:00,23:39:00,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신해운,5:56:30,        ,        ,6:29:30,6:56:30,7:30:00,7:53:30,        ,8:23:30,8:41:30,9:02:30,9:24:30,9:38:30,10:10:30,10:41:30,11:09:30,11:34:30,11:56:30,12:12:30,12:46:30,13:08:30,13:32:30,13:53:00,14:29:30,14:49:30,15:19:30,15:41:30,16:09:30,16:30:30,16:58:30,17:12:30,17:25:30,17:35:30,18:03:30,18:24:30,18:45:30,19:08:30,19:38:30,20:03:00,20:22:30,20:49:30,21:24:30,21:46:30,22:12:30,22:40:30,23:02:30,23:22:30,23:43:30,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정  ,6:00:00,        ,        ,6:33:00,7:00:00,7:33:30,7:57:00,        ,8:27:00,8:45:00,9:06:00,9:28:00,9:42:00,10:14:00,10:45:00,11:13:00,11:38:00,12:00:00,12:16:00,12:50:00,13:12:00,13:36:00,13:57:00,14:33:00,14:53:00,15:23:00,15:45:00,16:13:00,16:34:00,17:02:00,17:16:00,17:29:00,17:39:00,18:07:00,18:28:00,18:49:00,19:12:00,19:42:00,20:06:30,20:26:00,20:53:00,21:28:00,21:50:00,22:16:00,22:44:00,23:06:00,23:26:00,23:47:00,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오시리,6:02:00,        ,        ,6:35:00,7:02:00,7:35:30,7:59:00,        ,8:29:00,8:47:00,9:08:00,9:30:00,9:49:30,10:20:30,10:47:00,11:15:00,11:40:00,12:02:00,12:18:00,12:52:00,13:14:00,13:38:00,14:04:30,14:35:00,14:55:00,15:25:00,15:47:00,16:15:00,16:41:30,17:04:00,17:18:00,17:31:00,17:46:00,18:09:00,18:30:00,18:51:00,19:14:00,19:44:00,20:08:30,20:28:00,20:55:00,21:30:00,21:52:00,22:18:00,22:46:00,23:08:00,23:28:00,23:49:00,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기장  ,6:07:30,        ,        ,6:40:30,7:07:30,7:41:00,8:04:30,        ,8:34:30,8:52:30,9:13:30,9:35:30,9:55:30,10:26:00,10:52:30,11:20:30,11:45:30,12:07:30,12:23:30,12:57:30,13:19:30,13:43:30,14:11:00,14:40:30,15:00:30,15:30:30,15:52:30,16:20:30,16:47:00,17:09:30,17:23:30,17:36:30,17:51:30,18:14:30,18:35:30,18:56:30,19:19:30,19:49:30,20:14:00,20:33:30,21:00:30,21:35:30,21:57:30,22:23:30,22:51:30,23:13:30,23:33:30,23:54:30,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일광  ,6:11:00,        ,        ,6:44:00,7:11:00,7:44:30,8:08:00,        ,8:38:00,8:56:00,9:17:00,9:39:00,9:59:30,10:29:30,10:56:00,11:24:00,11:49:00,12:11:00,12:27:00,13:01:00,13:23:00,13:47:00,14:15:30,14:44:00,15:04:00,15:34:00,15:56:00,16:24:00,16:50:30,17:13:00,17:27:00,17:40:00,17:55:00,18:18:00,18:39:00,19:00:00,19:23:00,19:53:00,20:17:30,20:37:00,21:04:00,21:39:00,22:01:00,22:27:00,22:55:00,23:17:00,23:37:00,23:58:00,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
좌천  ,6:16:00,        ,        ,6:49:00,7:16:00,7:49:30,8:18:00,        ,8:43:00,9:01:00,9:22:00,9:44:00,10:05:00,10:34:30,11:01:00,11:29:00,11:54:00,12:16:00,12:37:00,13:06:00,13:28:00,13:56:30,14:26:00,14:49:00,15:14:30,15:39:00,16:01:00,16:29:00,16:55:30,17:18:00,17:32:00,17:45:00,18:00:00,18:23:00,18:44:00,19:05:00,19:28:00,19:58:00,20:22:30,20:42:00,21:09:00,21:44:00,22:06:00,22:32:00,23:00:00,23:22:00,23:42:00,00:03:00,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월내  ,6:20:00,        ,        ,6:53:00,7:20:00,7:53:30,8:22:00,        ,8:47:00,9:05:00,9:26:00,9:48:00,10:09:30,10:38:30,11:05:00,11:33:00,11:58:00,12:20:00,12:41:00,13:10:00,13:32:00,14:00:30,14:30:00,14:53:00,15:18:30,15:43:00,16:05:00,16:33:00,16:59:30,17:22:00,17:36:00,17:49:00,18:04:00,18:27:00,18:48:00,19:09:00,19:32:00,20:02:00,20:26:30,20:46:00,21:13:00,21:48:00,22:10:00,22:36:00,23:04:00,23:26:00,23:46:00,00:07:00,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
