시발역,망양  ,부전  ,망양  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,,,,,,,,,,,,,
종착역,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,망양  ,,,,,,,,,,,,,
열차번호,K8651,K8501,K8653,K8503,K8505,K8507,K8509,K8655,K8511,K8513,K8515,K8517,K8519,K8521,K8523,K8525,K8657,K8527,K8529,K8531,K8659,K8533,K8535,K8537,K8539,K8541,K8543,K8545,K8547,K8549,K8551,K8553,K8555,K8557,K8559,K8561,K8563,K8565,K8567,K8569,K8571,K8573,K8575,K8577,K8579,K8581,K8661,K8583,K8585,K8587,K8589,K8663,,,,,,,,,,,,,
부산원,        ,5:45:30,        ,6:15:00,6:27:30,6:45:30,7:00:30,7:19:30,7:30:30,7:47:30,8:12:00,8:23:30,8:38:30,8:55:30,9:10:30,9:25:30,9:39:00,9:59:30,10:24:30,10:44:30,11:06:30,11:33:30,12:01:30,12:35:30,12:56:30,13:21:30,14:10:00,14:38:30,15:07:30,15:33:30,16:03:30,16:20:30,16:43:30,17:06:30,17:25:30,17:48:00,18:05:30,18:21:30,18:42:30,19:03:30,19:27:30,19:52:00,20:12:30,20:27:30,20:44:30,21:05:00,21:23:30,21:45:30,22:15:30,22:47:30,23:13:30,23:39:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
재송  ,        ,5:47:30,        ,6:17:00,6:29:30,6:47:30,7:02:30,7:21:30,7:32:30,7:49:30,8:14:00,8:25:30,8:40:30,8:57:30,9:12:30,9:27:30,9:41:00,10:01:30,10:26:30,10:46:30,11:08:30,11:35:30,12:03:30,12:37:30,12:58:30,13:23:30,14:12:00,14:40:30,15:09:30,15:35:30,16:05:30,16:22:30,16:45:30,17:08:30,17:27:30,17:50:00,18:07:30,18:23:30,18:44:30,19:05:30,19:29:30,19:54:00,20:14:30,20:29:30,20:46:30,21:07:00,21:25:30,21:47:30,22:17:30,22:49:30,23:15:30,23:41:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
센텀  ,        ,5:49:30,        ,6:19:00,6:31:30,6:49:30,7:04:30,7:23:30,7:34:30,7:51:30,8:16:00,8:27:30,8:42:30,8:59:30,9:14:30,9:29:30,9:43:00,10:03:30,10:28:30,10:48:30,11:10:30,11:37:30,12:05:30,12:39:30,13:00:30,13:25:30,14:14:00,14:42:30,15:11:30,15:37:30,16:07:30,16:24:30,16:47:30,17:10:30,17:29:30,17:52:00,18:09:30,18:25:30,18:46:30,19:07:30,19:31:30,19:56:00,20:16:30,20:31:30,20:48:30,21:09:00,21:27:30,21:49:30,22:19:30,22:51:30,23:17:30,23:43:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벡스코,        ,5:52:00,        ,6:21:30,6:34:00,6:52:00,7:07:00,7:26:00,7:37:00,7:54:00,8:18:30,8:30:00,8:45:00,9:02:00,9:17:00,9:32:00,9:45:30,10:06:00,10:31:00,10:51:00,11:13:00,11:40:00,12:08:00,12:42:00,13:03:00,13:28:00,14:16:30,14:45:00,15:14:00,15:40:00,16:10:00,16:27:00,16:50:00,17:13:00,17:32:00,17:54:30,18:12:00,18:28:00,18:49:00,19:10:00,19:34:00,19:58:30,20:19:00,20:34:00,20:51:00,21:11:30,21:30:00,21:52:00,22:22:00,22:54:00,23:20:00,23:46:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신해운,        ,5:56:30,        ,6:26:00,6:38:30,6:56:30,7:11:30,7:30:30,7:41:30,7:58:30,8:23:00,8:34:30,8:49:30,9:06:30,9:21:30,9:36:30,9:50:00,10:10:30,10:35:30,10:55:30,11:17:30,11:44:30,12:12:30,12:46:30,13:07:30,13:32:30,14:21:00,14:49:30,15:18:30,15:44:30,16:14:30,16:31:30,16:54:30,17:17:30,17:36:30,17:59:00,18:16:30,18:32:30,18:53:30,19:14:30,19:38:30,20:03:00,20:23:30,20:38:30,20:55:30,21:16:00,21:34:30,21:56:30,22:26:30,22:58:30,23:24:30,23:50:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정  ,        ,6:00:00,        ,6:29:30,6:42:00,7:00:00,7:15:00,7:34:00,7:45:00,8:02:00,8:26:30,8:38:00,8:53:00,9:10:00,9:25:00,9:40:00,9:53:30,10:14:00,10:39:00,10:59:00,11:21:00,11:48:00,12:16:00,12:50:00,13:11:00,13:36:00,14:24:30,14:53:00,15:22:00,15:48:00,16:18:00,16:35:00,16:58:00,17:21:00,17:40:00,18:02:30,18:20:00,18:36:00,18:57:00,19:18:00,19:42:00,20:06:30,20:27:00,20:42:00,20:59:00,21:19:30,21:38:00,22:00:00,22:30:00,23:02:00,23:28:00,23:54:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
